news;internet;politics;lrscale;obedience;health;religious;relattend;livewomarr;divorced;edu3;edu6;zamieszkanie3;rozwod_balanced
5;5;3;5;2;4;10;4;2;2;2;4;3; 
5;5;3;5;3;1;1;6;2;2;2;4;3; 
5;5;3;5;3;2;4;5;2;2;2;4;3; 
5;5;3;5;3;2;7;3;2;2;2;3;2; 
5;5;3;5;4;3;1;7;2;2;2;3;2; 
5;5;3;5;5;2;2;5;2;2;1;1;1; 
5;5;3;6;1;2;8;3; ;2;3;6;2;2
5;5;3;9;4;1;0;6;2;2;3;6;2; 
5;5;4;1;3;1;4;6;1;2;3;5;1; 
5;5;4;5;3;1;0;6;1;2;1;1;1;2
5;5;4;5;4;3;5;7; ; ; ; ;3; 
5;5;4;5;5;1;6;7;2;2;2;3;1; 
5;5;4;5;5;2;2;6;2;2;2;3;3; 
5;5;4;5;5;3;7;3;2;2;1;1;3;2
10;1;4;5;3;4;9;6;1;1;1;2;3;1
10;2;3; ;4;1;2;7;1;1;2;3;1;1
10;2;3;3;2;2;8;3;1;2;2;4;3; 
10;2;3;3;4;2;4;5; ;2;3;5;2;2
10;2;3;10;4;1;8;3;2;2;1;2;3;2
10;2;4; ;1;3;10;2; ; ; ; ; ; 
10;3;2;0;3;3;7;4; ; ; ; ; ; 
10;3;3;5;2;3;5;5; ;2;1;2;1; 
10;3;3;10;4;2;3;5;2;2;1;2;1; 
10;4;3;0;2;3;9;3;1;2;2;3;3; 
10;4;3;5;1;2;5;5;2;1;3;6;2;1
10;4;3;5;2;2;4;5;2;2;1;2;2; 
10;4;3;5;2;3; ;3;2;2;2;4;3; 
10;4;3;5;2;3;5;4;2;2;3;5;3; 
10;4;3;7;4;2;2;5; ;2;2;4;1; 
10;4;3;9;2;3;6;2;1;2;2;3;2; 
10;4;3;10;2;2;7;1;2;2;3;6;3; 
10;4;4;6;2;2;5;3;1;2;2;4;3; 
10;4;4;7;3;2;6;4;2;2;1;1;3; 
10;5;2; ;5;4;0;7;1;2;3;6;1; 
10;5;2;2;3;3;4;6;2;2;3;6;1; 
10;5;2;4;5;2;3;5;2;2;1;1;2; 
10;5;2;5;2;1;3;7;1;2;2;4;2; 
10;5;2;5;2;2;1;7; ;2;3;6;1; 
10;5;2;5;4;2;2;7;2;2;3;6;1; 
10;5;2;5;4;2;5;5;1;2;3;6;3; 
10;5;2;6;5;2;1;7;2;2;1;1;1; 
10;5;2;8;2;2;8;4; ;2;3;6;1; 
10;5;2;10;4;1;2;5; ;2;2;3;1; 
10;5;3; ; ;2;7;3;2;2;3;6;3; 
10;5;3; ;3;2;10;2;2;2;1;1;2; 
10;5;3; ;4;2;5;5; ;1;3;6;3;1
10;5;3;0;3;2;1;7;2;2;3;6;2; 
10;5;3;0;4;2;8;3;2;2;2;3;1; 
10;5;3;1;5;2;2;7;1;2;3;5;1; 
10;5;3;2;4;4;0;7;2;2;2;4;1; 
10;5;3;3;3;2;5;5;2;2;1;1;1;2
10;5;3;4;5;3;5;3;1;2;3;6;1; 
10;5;3;5;2;1;4;5;1;2;3;5;2; 
10;5;3;5;2;2;8;3;2;2;1;2;3;2
10;5;3;5;2;3;7;3;2;2;1;1;3; 
10;5;3;5;3;1;1;7;1;2;3;5;3;2
10;5;3;5;3;1;3;5;2;2;1;1;1; 
10;5;3;5;3;2;0;7;2;2;2;4;1; 
10;5;3;5;3;2;1;7;2;2;3;6;2; 
10;5;3;5;3;2;4;6;2;2;1;1;2;2
