news;internet;politics;lrscale;obedience;health;religious;relattend;livewomarr;divorced;edu3;edu6;zamieszkanie3;rozwod_balanced
45;5;2;2;2;2;6;5;2;2;1;1;3; 
10;4;4;7;3;2;6;4;2;2;1;1;3; 
9999;5;4;3;4;1;1;5;2;2;1;1;3; 
15;5;4;7;4;2;1;2;1;2;1;1;3; 
9999;5;3;5;5;2;5;6;2;2;1;1;3; 
10;5;4;5;2;3;3;6;2;2;1;1;3; 
90;4;2;10;3;3;6;3;2;2;1;1;3; 
90;2;3;5;2;3;8;3;2;2;1;1;3; 
150;4;2;99;2;2;6;5;2;2;1;1;3; 
240;1;2;5;3;3;5;3;2;2;1;1;3; 
240;1;1;5;1;5;4;5;2;2;1;1;3; 
60;1;2;7;3;3;5;3;2;2;1;1;3; 
40;5;3;3;1;2;9;2;2;2;1;1;3; 
130;2;3;8;2;3;8;3;2;2;1;1;3; 
130;1;3;10;4;3;5;5;2;2;1;1;3; 
60;5;3;5;2;4;8;3;2;2;1;1;3; 
180;1;3;10;2;2;10;3;2;2;1;1;3; 
20;3;3;10;2;2;10;5;2;2;1;1;3; 
195;1;2;6;1;4;10;3;2;2;1;1;3; 
120;1;2;10;1;4;5;3;2;2;1;1;3; 
150;1;2;7;2;4;6;5;2;2;1;1;3; 
1230;1;3;10;2;3;10;3;2;2;1;1;3; 
20;1;3;4;4;2;7;3;2;2;1;1;3; 
210;1;3;5;3;3;10;1;2;2;1;1;3; 
9999;2;3;1;3;2;8;5;2;2;1;1;3; 
120;3;3;10;2;2;8;3;2;2;1;1;3; 
60;5;2;9;2;2;10;2;2;2;1;1;3; 
60;1;2;10;1;3;8;3;2;2;1;1;3; 
150;1;2;5;2;5;5;5;2;2;1;1;3; 
30;3;3;5;3;2;3;6;2;2;1;1;3; 
30;1;3;5;2;4;9;3;2;2;1;1;3; 
140;4;3;99;9;2;6;5;2;2;1;1;3; 
30;1;3;10;2;2;10;3;2;2;1;1;3; 
90;5;3;3;3;4;1;5;2;2;1;1;3; 
120;5;2;10;3;1;8;3;2;2;1;1;3; 
60;5;2;6;2;1;5;5;2;2;1;1;3; 
120;1;3;4;2;3;10;3;2;2;1;1;3; 
30;5;3;5;4;3;1;5;2;2;1;1;3; 
50;1;3;5;3;2;9;3;2;2;1;1;3; 
270;1;3;7;2;2;99;3;2;2;1;1;3; 
60;1;2;10;1;3;9;99;2;2;1;1;3; 
60;3;2;99;2;3;8;3;2;2;1;1;3; 
120;1;3;8;9;3;10;3;2;2;1;1;3; 
50;2;3;6;1;3;6;3;2;2;1;1;3; 
120;1;3;8;2;3;8;4;2;2;1;1;3; 
15;1;3;5;4;2;10;3;1;2;1;1;3; 
120;1;3;10;1;3;10;5;2;2;1;1;3; 
5;4;4;7;4;1;0;3;2;2;1;1;3; 
150;3;2;7;1;4;10;3;2;2;1;1;3; 
180;1;2;9;1;3;10;1;1;2;1;1;3; 
240;1;1;10;1;3;10;4;2;2;1;1;3; 
120;5;1;5;3;2;8;5;2;2;1;1;3; 
30;1;2;4;4;5;6;4;2;2;1;1;3; 
140;1;3;10;2;3;8;3;9;2;1;1;3; 
15;1;4;7;3;2;8;3;2;2;1;1;3; 
90;5;1;5;3;3;5;5;2;2;1;1;3; 
150;1;3;10;2;3;7;3;2;2;1;1;3; 
9999;3;4;5;1;3;7;3;2;2;1;1;3; 
210;2;3;5;1;2;5;5;2;2;1;1;3; 
60;5;3;5;2;1;5;3;2;2;1;1;3; 
60;1;2;0;1;3;5;4;2;2;1;1;3; 
150;2;3;5;3;3;6;4;2;2;1;1;3; 
180;1;1;10;1;3;9;3;2;2;1;1;3; 
80;2;3;99;1;3;3;5;2;2;1;1;3; 
120;5;2;10;2;3;10;2;2;2;1;1;3; 
50;5;2;8;2;1;7;4;2;2;1;1;3; 
60;4;2;10;2;2;8;4;6;2;1;1;3; 
90;1;2;7;4;4;8;5;2;2;1;1;3; 
150;5;3;3;5;3;6;5;2;2;1;1;3; 
60;2;2;5;2;3;4;3;2;2;1;1;3; 
120;1;1;10;1;3;3;7;1;2;1;1;3; 
60;1;3;5;3;2;5;3;2;2;1;1;3; 
150;2;2;10;1;3;10;2;2;2;1;1;3; 
10;5;3;5;2;3;7;3;2;2;1;1;3; 
5;5;3;99;4;2;1;5;2;2;1;1;3; 
210;1;2;10;2;4;9;3;2;2;1;1;3; 
180;3;3;5;3;2;3;5;1;2;1;1;3; 
120;1;3;5;9;3;5;5;1;2;1;1;3; 
20;5;2;3;3;3;3;5;2;2;1;1;3; 
80;1;3;1;4;4;10;5;2;2;1;1;3; 
150;1;2;10;1;1;10;3;2;2;1;1;3; 
30;5;3;3;3;4;5;5;2;2;1;1;3; 
90;1;2;5;2;5;10;6;2;2;1;1;3; 
10;5;4;5;3;3;5;3;2;2;1;1;3; 
60;1;4;5;2;5;5;5;2;2;1;1;3; 
40;2;3;10;2;4;8;3;2;2;1;1;3; 
120;1;3;5;2;4;8;4;2;2;1;1;3; 
